,vmId,cluster,virtualDatacenter,ip_addresses,os,os_name,vmState,vCpu,vmName,vRam,vinfo_provisioned,vinfo_used,vmdkTotal,vmdkUsed
213,vm-5965,BRB-UCS-Windows-01,BRB,157.139.238.103,Microsoft Windows Server 2016 or later (64-bit),vDCOREP029.company.net,poweredOn,12,vDCOREP029,256.0,636.4736328125,636.4736328125,380.0,222.6494140625
214,vm-4461,BRB-UCS-Windows-01,BRB,157.139.250.38,Microsoft Windows Server 2016 or later (64-bit),vDCOREP030.company.net,poweredOn,16,vDCOREP030,128.0,478.4501953125,478.4501953125,350.0,201.9853515625
215,vm-5497,BRB-UCS-Windows-01,BRB,157.139.241.60,Microsoft Windows Server 2016 or later (64-bit),vDCOREP031.company.net,poweredOn,4,vDCOREP031,128.0,378.447265625,378.447265625,250.0,131.853515625
216,vm-5137,BRB-UCS-Windows-01,BRB,157.139.241.70,Microsoft Windows Server 2016 or later (64-bit),vDCOREP032.company.net,poweredOn,4,vDCOREP032,64.0,314.4755859375,314.4755859375,250.0,153.490234375
217,vm-4487,BRB-UCS-Linux-01,BRB,157.139.250.40,Red Hat Enterprise Linux 8 (64-bit),VDCOREP033,poweredOn,2,VDCOREP033,8.0,108.0791015625,108.0791015625,100.0,17.3134765625
218,vm-5138,BRB-UCS-Windows-01,BRB,157.139.241.72,Microsoft Windows Server 2016 or later (64-bit),vDCOREP034.company.net,poweredOn,8,vDCOREP034,64.0,284.4443359375,284.4443359375,220.0,141.7958984375
219,vm-5475,BRB-UCS-Windows-01,BRB,157.139.241.73,Microsoft Windows Server 2016 or later (64-bit),vDCOREP035.company.net,poweredOn,4,vDCOREP035,16.0,236.2177734375,236.2177734375,220.0,152.39453125
220,vm-5091,BRB-UCS-Windows-01,BRB,157.139.241.69,Microsoft Windows Server 2016 or later (64-bit),vDCOREP036.company.net,poweredOn,8,vDCOREP036,192.0,442.470703125,442.470703125,250.0,160.962890625
221,vm-5477,BRB-UCS-Windows-01,BRB,157.139.241.76,Microsoft Windows Server 2016 or later (64-bit),vDCOREP037.company.net,poweredOn,8,vDCOREP037,192.0,432.44140625,432.44140625,240.0,126.5947265625
222,vm-5093,BRB-UCS-Windows-01,BRB,157.139.241.95,Microsoft Windows Server 2016 or later (64-bit),vDCOREP038.company.net,poweredOn,16,vDCOREP038,196.0,416.4970703125,416.4970703125,220.0,104.2158203125
223,vm-179861,BRB-UCS-Windows-01,BRB,157.139.250.66,Microsoft Windows Server 2019 (64-bit),vDCOREP040.company.net,poweredOn,2,vDCOREP040,8.0,128.0927734375,128.0927734375,120.0,58.205078125
